property_id,suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,internal_area_sqm,year_built,condition,has_pool,distance_to_cbd_km,distance_to_station_km,sale_method,sale_date,days_on_market,agent_description,sale_price
P014,Mosman,2088,Apartment,2,1,0.0,,147.0,2026.0,New,False,7.3,0.28,Auction,2026-02-25,14.0,"Bright, generously proportioned apartment with a full-width balcony. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. An easy stroll to Balmoral Beach and the ferry.",2455000
P015,Parramatta,2150,Townhouse,2,1,1.0,200.0,128.0,2004.0,Good,False,22.4,0.78,Auction,2024-04-23,24.0,"Beautifully updated townhouse ready to move straight into. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Moments to Parramatta Square, the light rail and the station.",755000
P016,Mosman,2088,Apartment,2,1,1.0,,151.0,1977.0,Good,False,9.3,3.41,Auction,2024-07-30,23.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. An easy stroll to Balmoral Beach and the ferry.",1615000
P017,Blacktown,2148,House,5,1,2.0,717.0,183.0,1965.0,Good,True,34.5,0.28,Private treaty,2024-08-29,17.0,"Solid brick home with scope to add value over time. 5 bedrooms, 1 bathrooms. Leafy district views from the main living zone. Well maintained and presented in good order throughout. Significant development potential (STCA) on this large parcel. Convenient to shops, childcare and express city trains.",1125000
P018,Parramatta,2150,Apartment,1,3,1.0,,61.0,2023.0,New,False,23.4,1.13,Auction,2026-06-04,31.0,"Top-floor apartment offering privacy and an open outlook. 1 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. An easy walk to Church Street dining and the river foreshore.",690000
P019,Parramatta,2150,Apartment,3,1,1.0,,81.0,,Original,False,22.0,3.74,Auction,2024-03-28,25.0,"Bright, generously proportioned apartment with a full-width balcony. 3 bedrooms, 1 bathrooms. Elevated with pleasant district outlook. Retains original features and awaits a cosmetic update. Moments to Parramatta Square, the light rail and the station.",620000
P020,Parramatta,2150,Apartment,1,2,1.0,,67.0,1996.0,Original,False,21.9,0.7,Private treaty,2025-06-03,6.0,"Immaculate apartment in a well-maintained, established building. 1 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Moments to Parramatta Square, the light rail and the station.",540000
P021,Blacktown,2148,House,5,3,2.0,486.0,233.0,1980.0,Original,False,35.3,0.51,Private treaty,2025-01-13,15.0,"Rare opportunity in one of the area's most tightly held streets. 5 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Walk to Westpoint, schools and Blacktown station.",1340000
P022,Mosman,2088,House,4,3,2.0,1023.0,142.0,1931.0,Renovated,False,9.2,0.69,Private treaty,2024-08-17,36.0,"Sun-drenched residence set on a level block. 4 bedrooms, 3 bathrooms. Leafy district views from the main living zone. Renovated throughout with a designer kitchen and new bathrooms. Walk to Spit Junction village, cafes and city buses.",4285000
P023,Parramatta,2150,House,5,3,3.0,622.0,165.0,2024.0,New,False,23.8,0.52,Auction,2024-07-15,20.0,"Immaculately presented family home in a quiet pocket. 5 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Newly completed with premium appliances and finishes. Close to Westfield, the university campus and ferry wharf.",1765000
P024,Parramatta,2150,Townhouse,3,2,1.0,172.0,44.0,2011.0,Good,False,23.7,0.28,Auction,2024-05-27,20.0,"Modern three-level townhouse with double garage. 3 bedrooms, 2 bathrooms. Elevated with pleasant district outlook. Well maintained and presented in good order throughout. An easy walk to Church Street dining and the river foreshore.",715000
P025,Mosman,2088,House,2,2,3.0,1142.0,138.0,1897.0,Renovated,False,10.6,0.92,Auction,2026-06-30,33.0,"Sun-drenched residence set on a level block. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Close to quality schools, Mosman village and the harbour foreshore.",4890000
P026,Blacktown,2148,House,3,2,2.0,440.0,107.0,1986.0,Good,False,35.0,0.93,Auction,2025-08-30,12.0,"Immaculately presented family home in a quiet pocket. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Close to local schools, parklands and the M7 on-ramp.",825000
P027,Mosman,2088,Apartment,2,2,1.0,,78.0,1918.0,Good,False,8.7,0.23,Private treaty,2024-06-03,,"Bright, generously proportioned apartment with a full-width balcony. 2 bedrooms, 2 bathrooms. Direct waterfront with private jetty and boatshed. Well maintained and presented in good order throughout. Close to quality schools, Mosman village and the harbour foreshore.",2345000
P028,Blacktown,2148,Townhouse,3,1,1.0,266.0,160.0,,Needs work,False,36.0,0.46,Private treaty,2024-04-28,76.0,"Rarely offered townhouse in a boutique group of six. 3 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Original condition and in need of significant work. Convenient to shops, childcare and express city trains.",765000
P029,Parramatta,2150,Apartment,2,1,1.0,,35.0,1997.0,Good,False,23.7,0.15,Private treaty,2025-11-24,6.0,"Bright, generously proportioned apartment with a full-width balcony. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Moments to Parramatta Square, the light rail and the station.",560000
P030,Blacktown,2148,House,3,3,,469.0,110.0,1967.0,Needs work,False,33.7,1.15,Private treaty,2024-01-24,23.0,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 3 bathrooms. Elevated with pleasant district outlook. Original condition and in need of significant work. Convenient to shops, childcare and express city trains.",645000
P031,Parramatta,2150,House,5,1,3.0,461.0,210.0,1977.0,Original,False,21.9,1.37,Auction,2025-02-26,71.0,"Deceased estate offered to the market for the first time in decades. 5 bedrooms, 1 bathrooms. Leafy district views from the main living zone. Retains original features and awaits a cosmetic update. Moments to Parramatta Square, the light rail and the station.",1530000
P032,Parramatta,2150,Apartment,2,1,1.0,,42.0,1989.0,Good,False,21.7,0.15,Auction,2025-10-08,53.0,"Bright, generously proportioned apartment with a full-width balcony. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. An easy walk to Church Street dining and the river foreshore.",430000
P033,Parramatta,2150,House,5,2,2.0,761.0,189.0,2021.0,Renovated,False,21.9,0.25,Auction,2026-01-30,23.0,"Solid brick home with scope to add value over time. 5 bedrooms, 2 bathrooms. Enjoy filtered water glimpses through the treetops. Recently renovated with quality finishes. Significant development potential (STCA) on this large parcel. Moments to Parramatta Square, the light rail and the station.",2675000
P034,Mosman,2088,Apartment,2,1,0.0,,113.0,1935.0,Good,False,7.5,0.71,Auction,2025-06-08,35.0,"Positioned in a boutique security block with lift access. 2 bedrooms, 1 bathrooms. Commanding harbour views from every principal room. Well maintained and presented in good order throughout. An easy stroll to Balmoral Beach and the ferry.",2130000
P035,Blacktown,2148,House,3,3,1.0,965.0,131.0,2024.0,New,False,33.8,0.62,Private treaty,2025-03-30,9.0,"Immaculately presented family home in a quiet pocket. 3 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. Convenient to shops, childcare and express city trains.",980000
P036,Parramatta,2150,Apartment,2,2,1.0,,98.0,1997.0,Original,False,21.9,0.34,Auction,2026-06-13,86.0,"Bright, generously proportioned apartment with a full-width balcony. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Moments to Parramatta Square, the light rail and the station.",715000
P037,Mosman,2088,Apartment,2,1,2.0,,129.0,1966.0,Good,False,8.4,0.39,Auction,2025-01-03,3.0,"Top-floor apartment offering privacy and an open outlook. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. An easy stroll to Balmoral Beach and the ferry.",1610000
P038,Mosman,2088,Townhouse,3,3,2.0,284.0,159.0,1948.0,Good,True,8.4,0.81,Auction,2026-04-20,30.0,"Rarely offered townhouse in a boutique group of six. 3 bedrooms, 3 bathrooms. Leafy district views from the main living zone. Well maintained and presented in good order throughout. Walk to Spit Junction village, cafes and city buses.",3980000
P039,Parramatta,2150,Apartment,2,2,1.0,,124.0,,Original,False,23.2,0.63,Auction,2025-08-02,15.0,"Top-floor apartment offering privacy and an open outlook. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. An easy walk to Church Street dining and the river foreshore.",760000
P040,Blacktown,2148,House,3,2,,681.0,202.0,1939.0,Renovated,False,34.7,3.03,Private treaty,2025-12-28,23.0,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 2 bathrooms. Elevated with pleasant district outlook. Renovated throughout with a designer kitchen and new bathrooms. Walk to Westpoint, schools and Blacktown station.",855000
P041,Blacktown,2148,House,5,2,4.0,431.0,210.0,1970.0,Good,True,33.8,0.8,Private treaty,2025-12-25,22.0,"Deceased estate offered to the market for the first time in decades. 5 bedrooms, 2 bathrooms. Leafy district views from the main living zone. Well maintained and presented in good order throughout. Walk to Westpoint, schools and Blacktown station.",1080000
P042,Mosman,2088,House,2,1,4.0,797.0,,,Renovated,False,8.2,0.28,Auction,2026-05-07,31.0,"Immaculately presented family home in a quiet pocket. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Walk to Spit Junction village, cafes and city buses.",4650000
P043,Parramatta,2150,House,4,3,2.0,781.0,158.0,1980.0,Renovated,False,22.7,2.05,Auction,2024-12-13,22.0,"Deceased estate offered to the market for the first time in decades. 4 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Moments to Parramatta Square, the light rail and the station.",1615000
P044,Mosman,2088,Apartment,2,2,0.0,,,1958.0,Good,False,8.2,1.06,Auction,2024-05-22,70.0,"Positioned in a boutique security block with lift access. 2 bedrooms, 2 bathrooms. Water glimpses from the upper level. Well maintained and presented in good order throughout. An easy stroll to Balmoral Beach and the ferry.",2155000
P045,Blacktown,2148,House,6,2,1.0,597.0,,1972.0,Good,False,34.2,0.18,Auction,2024-03-31,23.0,"Immaculately presented family home in a quiet pocket. 6 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Convenient to shops, childcare and express city trains.",1160000
P046,Blacktown,2148,Townhouse,3,2,1.0,278.0,123.0,,Good,False,33.0,1.2,Auction,2025-04-05,14.0,"Beautifully updated townhouse ready to move straight into. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Convenient to shops, childcare and express city trains.",640000
P047,Blacktown,2148,House,3,3,2.0,669.0,172.0,,Original,False,35.3,0.59,Auction,2025-04-30,,"Rare opportunity in one of the area's most tightly held streets. 3 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Close to local schools, parklands and the M7 on-ramp.",830000
P048,Mosman,2088,Apartment,3,1,0.0,,,,Renovated,False,9.5,0.96,Auction,2025-07-14,20.0,"Positioned in a boutique security block with lift access. 3 bedrooms, 1 bathrooms. Direct waterfront with private jetty and boatshed. Renovated throughout with a designer kitchen and new bathrooms. Close to quality schools, Mosman village and the harbour foreshore.",3550000
P049,Parramatta,2150,Townhouse,3,1,1.0,,90.0,2021.0,Good,False,23.5,1.36,Auction,2026-01-25,,"Beautifully updated townhouse ready to move straight into. 3 bedrooms, 1 bathrooms. Elevated with pleasant district outlook. Well maintained and presented in good order throughout. Close to Westfield, the university campus and ferry wharf.",950000
P050,Parramatta,2150,House,5,4,2.0,631.0,124.0,2026.0,Renovated,False,21.9,0.63,Auction,2026-04-14,16.0,"Sun-drenched residence set on a level block. 5 bedrooms, 4 bathrooms. Elevated with pleasant district outlook. Recently renovated with quality finishes. Moments to Parramatta Square, the light rail and the station.",2060000
P051,Blacktown,2148,House,4,3,2.0,537.0,141.0,1995.0,Original,True,35.1,0.53,Private treaty,2024-12-30,42.0,"Sun-drenched residence set on a level block. 4 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Walk to Westpoint, schools and Blacktown station.",860000
P052,Blacktown,2148,Apartment,1,1,2.0,,56.0,1980.0,Needs work,False,35.3,1.01,Auction,2024-11-03,8.0,"Bright, generously proportioned apartment with a full-width balcony. 1 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Original condition and in need of significant work. Close to local schools, parklands and the M7 on-ramp.",295000
P053,Blacktown,2148,House,4,2,1.0,587.0,143.0,2023.0,New,True,34.8,0.45,Auction,2026-08-02,4.0,"Deceased estate offered to the market for the first time in decades. 4 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. Close to local schools, parklands and the M7 on-ramp.",1175000
P054,Blacktown,2148,House,3,3,2.0,452.0,142.0,1949.0,Renovated,False,33.0,0.3,Private treaty,2024-05-22,28.0,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Recently renovated with quality finishes. Convenient to shops, childcare and express city trains.",805000
P055,Parramatta,2150,Apartment,2,2,1.0,,76.0,1950.0,Original,False,23.3,0.64,Private treaty,2024-08-31,53.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Close to Westfield, the university campus and ferry wharf.",525000
P056,Mosman,2088,Apartment,1,1,1.0,,89.0,1914.0,Original,False,10.0,0.18,Auction,2025-11-23,23.0,"Bright, generously proportioned apartment with a full-width balcony. 1 bedrooms, 1 bathrooms. Sweeping harbour views across to the city skyline. Retains original features and awaits a cosmetic update. Close to quality schools, Mosman village and the harbour foreshore.",1480000
P057,Mosman,2088,House,4,3,4.0,716.0,269.0,1935.0,Original,False,8.2,0.28,Private treaty,2024-01-23,39.0,"Spacious family home offering flexible living zones. 4 bedrooms, 3 bathrooms. Commanding harbour views from every principal room. Retains original features and awaits a cosmetic update. An easy stroll to Balmoral Beach and the ferry.",8070000
P058,Mosman,2088,House,3,1,2.0,820.0,,1936.0,Good,True,7.2,1.38,Private treaty,2025-12-07,55.0,"Solid brick home with scope to add value over time. 3 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. An easy stroll to Balmoral Beach and the ferry.",5760000
P059,Blacktown,2148,House,4,4,2.0,902.0,117.0,1992.0,Needs work,False,34.0,0.32,Private treaty,2024-08-12,16.0,"Spacious family home offering flexible living zones. 4 bedrooms, 4 bathrooms. A private, leafy outlook from the rear living area. Original condition and in need of significant work. Close to local schools, parklands and the M7 on-ramp.",900000
P060,Mosman,2088,Townhouse,3,2,1.0,415.0,128.0,1932.0,Good,True,8.0,2.31,Private treaty,2025-06-09,62.0,"Beautifully updated townhouse ready to move straight into. 3 bedrooms, 2 bathrooms. Leafy district views from the main living zone. Well maintained and presented in good order throughout. Close to quality schools, Mosman village and the harbour foreshore.",3115000
P061,Blacktown,2148,Townhouse,3,2,2.0,164.0,92.0,,Good,False,34.9,2.08,Private treaty,2025-09-06,37.0,"Modern three-level townhouse with double garage. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Convenient to shops, childcare and express city trains.",515000
P062,Parramatta,2150,Townhouse,2,3,,,161.0,2023.0,New,False,21.4,1.18,Private treaty,2026-04-30,12.0,"Modern three-level townhouse with double garage. 2 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Newly completed with premium appliances and finishes. Moments to Parramatta Square, the light rail and the station.",1225000
P063,Mosman,2088,Townhouse,3,2,1.0,212.0,154.0,1934.0,Original,False,9.0,0.21,Auction,2024-09-04,,"Beautifully updated townhouse ready to move straight into. 3 bedrooms, 2 bathrooms. Water glimpses from the upper level. Retains original features and awaits a cosmetic update. An easy stroll to Balmoral Beach and the ferry.",2780000
P064,Parramatta,2150,Apartment,2,3,1.0,,53.0,1994.0,Renovated,False,23.4,0.98,Auction,2024-07-21,19.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Close to Westfield, the university campus and ferry wharf.",750000
P065,Parramatta,2150,House,5,4,1.0,603.0,,,Original,False,22.8,1.33,Private treaty,2026-05-29,22.0,"Immaculately presented family home in a quiet pocket. 5 bedrooms, 4 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. An easy walk to Church Street dining and the river foreshore.",1800000
P066,Blacktown,2148,House,5,1,2.0,526.0,189.0,1998.0,Good,False,34.2,0.17,Private treaty,2024-07-20,25.0,"Deceased estate offered to the market for the first time in decades. 5 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Close to local schools, parklands and the M7 on-ramp.",875000
P067,Mosman,2088,House,3,2,3.0,798.0,,1932.0,Renovated,False,6.9,1.06,Private treaty,2026-02-10,52.0,"Sun-drenched residence set on a level block. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Recently renovated with quality finishes. Walk to Spit Junction village, cafes and city buses.",6285000
P068,Blacktown,2148,House,4,4,2.0,384.0,139.0,,Good,True,34.6,3.1,Private treaty,2025-03-27,33.0,"Solid brick home with scope to add value over time. 4 bedrooms, 4 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Convenient to shops, childcare and express city trains.",850000
P069,Mosman,2088,House,3,1,1.0,455.0,180.0,1940.0,Renovated,False,8.8,0.58,Auction,2025-07-28,30.0,"Rare opportunity in one of the area's most tightly held streets. 3 bedrooms, 1 bathrooms. Direct waterfront with private jetty and boatshed. Recently renovated with quality finishes. An easy stroll to Balmoral Beach and the ferry.",6490000
P070,Blacktown,2148,House,5,4,3.0,652.0,139.0,1924.0,Good,False,32.4,1.45,Private treaty,2026-04-06,6.0,"Immaculately presented family home in a quiet pocket. 5 bedrooms, 4 bathrooms. Leafy district views from the main living zone. Well maintained and presented in good order throughout. Convenient to shops, childcare and express city trains.",1120000
P071,Parramatta,2150,Apartment,2,2,1.0,,68.0,1994.0,Renovated,False,22.3,1.21,Auction,2025-10-26,44.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Recently renovated with quality finishes. Close to Westfield, the university campus and ferry wharf.",665000
P072,Mosman,2088,Townhouse,2,2,1.0,402.0,146.0,,Needs work,False,8.5,0.99,Auction,2024-07-28,18.0,"Modern three-level townhouse with double garage. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Requires full renovation throughout - bring your builder. An easy stroll to Balmoral Beach and the ferry.",2420000
P073,Blacktown,2148,House,3,3,1.0,375.0,142.0,1973.0,Needs work,False,34.9,0.86,Private treaty,2024-08-24,21.0,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Requires full renovation throughout - bring your builder. Close to local schools, parklands and the M7 on-ramp.",645000
P074,Mosman,2088,House,3,2,2.0,1026.0,,,Good,False,7.6,0.6,Auction,2025-07-28,,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 2 bathrooms. Direct waterfront with private jetty and boatshed. Well maintained and presented in good order throughout. An easy stroll to Balmoral Beach and the ferry.",10175000
P075,Blacktown,2148,House,2,2,1.0,310.0,185.0,,Needs work,True,34.0,0.69,Auction,2024-11-28,26.0,"Immaculately presented family home in a quiet pocket. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Original condition and in need of significant work. Walk to Westpoint, schools and Blacktown station.",560000
P076,Mosman,2088,House,5,2,2.0,1022.0,164.0,,Original,True,7.9,0.83,Private treaty,2024-03-30,3.0,"Solid brick home with scope to add value over time. 5 bedrooms, 2 bathrooms. Water glimpses from the upper level. Retains original features and awaits a cosmetic update. Close to quality schools, Mosman village and the harbour foreshore.",5895000
P077,Blacktown,2148,House,3,2,2.0,523.0,159.0,1975.0,Good,False,32.4,0.82,Private treaty,2026-02-09,23.0,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Close to local schools, parklands and the M7 on-ramp.",820000
P078,Parramatta,2150,Townhouse,3,2,2.0,151.0,100.0,,Original,False,23.0,1.77,Private treaty,2025-05-28,7.0,"Rarely offered townhouse in a boutique group of six. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Moments to Parramatta Square, the light rail and the station.",960000
P079,Mosman,2088,Apartment,3,1,1.0,,,1952.0,Renovated,False,6.1,2.34,Private treaty,2024-06-07,,"Positioned in a boutique security block with lift access. 3 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Walk to Spit Junction village, cafes and city buses.",1610000
P080,Parramatta,2150,Apartment,1,2,0.0,,127.0,2026.0,New,False,22.5,0.26,Private treaty,2026-08-08,25.0,"Immaculate apartment in a well-maintained, established building. 1 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Newly completed with premium appliances and finishes. Close to Westfield, the university campus and ferry wharf.",820000
P081,Parramatta,2150,House,6,3,2.0,346.0,260.0,1994.0,Needs work,False,23.7,0.73,Auction,2025-08-20,30.0,"Immaculately presented family home in a quiet pocket. 6 bedrooms, 3 bathrooms. Elevated with pleasant district outlook. Requires full renovation throughout - bring your builder. An easy walk to Church Street dining and the river foreshore.",2260000
P082,Blacktown,2148,House,5,3,2.0,518.0,159.0,1972.0,Good,False,35.6,2.75,Private treaty,2024-01-16,43.0,"Sun-drenched residence set on a level block. 5 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Close to local schools, parklands and the M7 on-ramp.",985000
P083,Blacktown,2148,Townhouse,4,1,2.0,,158.0,1951.0,Original,False,34.3,0.15,Private treaty,2025-06-12,12.0,"Modern three-level townhouse with double garage. 4 bedrooms, 1 bathrooms. Leafy district views from the main living zone. Retains original features and awaits a cosmetic update. Close to local schools, parklands and the M7 on-ramp.",840000
P084,Blacktown,2148,Townhouse,3,2,1.0,392.0,155.0,1992.0,Good,False,34.2,1.01,Private treaty,2024-04-09,128.0,"Beautifully updated townhouse ready to move straight into. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Walk to Westpoint, schools and Blacktown station.",730000
P085,Parramatta,2150,House,3,3,,571.0,128.0,1972.0,Good,False,24.7,0.55,Auction,2025-09-02,15.0,"Sun-drenched residence set on a level block. 3 bedrooms, 3 bathrooms. Elevated with pleasant district outlook. Well maintained and presented in good order throughout. Moments to Parramatta Square, the light rail and the station.",1275000
P086,Blacktown,2148,House,5,3,2.0,,132.0,1968.0,Needs work,False,31.6,0.15,Private treaty,2024-03-05,16.0,"Solid brick home with scope to add value over time. 5 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Requires full renovation throughout - bring your builder. Walk to Westpoint, schools and Blacktown station.",980000
P087,Mosman,2088,House,4,2,3.0,811.0,131.0,,Good,False,8.1,0.31,Auction,2025-11-09,,"Sun-drenched residence set on a level block. 4 bedrooms, 2 bathrooms. Water glimpses from the upper level. Well maintained and presented in good order throughout. Walk to Spit Junction village, cafes and city buses.",6765000
